Time(s),Ch4
0.865,-0.0658035
0.866,-0.0678063
0.867,-0.0695229
0.868,-0.0692368
0.869,-0.0686646
0.87,-0.0689507
0.871,-0.066948
0.872,-0.0649452
0.873,-0.0649452
0.874,-0.0640869
0.875,-0.0620842
0.876,-0.061512
0.877,-0.0606537
0.878,-0.0606537
0.879,-0.0609398
0.88,-0.0603676
0.881,-0.0597954
0.882,-0.0592232
0.883,-0.0595093
0.884,-0.0589371
0.885,-0.058651
0.886,-0.0583649
0.887,-0.0580788
0.888,-0.058651
0.889,-0.0592232
0.89,-0.058651
0.891,-0.0577927
0.892,-0.0577927
0.893,-0.0580788
0.894,-0.0592232
0.895,-0.0603676
0.896,-0.0629425
0.897,-0.0660896
0.898,-0.066948
0.899,-0.0675202
0.9,-0.0683785
0.901,-0.0689507
0.902,-0.0692368
0.903,-0.0683785
0.904,-0.0672341
0.905,-0.0666618
0.906,-0.066948
0.907,-0.0680924
0.908,-0.0680924
0.909,-0.0683785
0.91,-0.0692368
0.911,-0.0695229
0.912,-0.0692368
0.913,-0.0675202
0.914,-0.0655174
0.915,-0.0666618
0.916,-0.0703812
0.917,-0.0732422
0.918,-0.0741005
0.919,-0.0735283
0.92,-0.0732422
0.921,-0.0741005
0.922,-0.0746727
0.923,-0.0741005
0.924,-0.0735283
0.925,-0.0729561
0.926,-0.0732422
0.927,-0.0741005
0.928,-0.0746727
0.929,-0.0752449
0.93,-0.0763893
0.931,-0.0778198
0.932,-0.0781059
0.933,-0.0778198
0.934,-0.0775337
0.935,-0.0772476
0.936,-0.0766754
0.937,-0.0769615
0.938,-0.0766754
0.939,-0.0769615
0.94,-0.0772476
0.941,-0.0763893
0.942,-0.0743866
0.943,-0.0723839
0.944,-0.0712395
0.945,-0.0706673
0.946,-0.0706673
0.947,-0.0703812
0.948,-0.0692368
0.949,-0.0692368
0.95,-0.0692368
0.951,-0.0692368
0.952,-0.0695229
0.953,-0.0689507
0.954,-0.0683785
0.955,-0.0678063
0.956,-0.0652313
0.957,-0.0632286
0.958,-0.0612259
0.959,-0.0597954
0.96,-0.0592232
0.961,-0.0589371
0.962,-0.058651
0.963,-0.058651
0.964,-0.0577927
0.965,-0.0577927
0.966,-0.0592232
0.967,-0.0612259
0.968,-0.061512
0.969,-0.0609398
0.97,-0.0606537
0.971,-0.0609398
0.972,-0.0617981
0.973,-0.064373
0.974,-0.0675202
0.975,-0.0689507
0.976,-0.0706673
0.977,-0.0735283
0.978,-0.0766754
